,laborforce_unemployed,PercentCar,Management_business_science_and_arts,Service,Production_transportation_and_material_moving,Median_household_income,No_health_insurance,non_fam_household,diff_house_1year,foreign_born,ForeignCit,home_lang_not_english,own_computer,black_pct,hispanic_pct,Pct20t45,Pct45t65,Pct65plus,r200kplus,HighSchoolEd,BachelorsOrHigher
0,4.7,87.3,31.5,17.2,14.5,44030,13.7,32.7,12.2,3.0,1.383,4.9,76.9,27.9,3.1,30.9,27.0,16.2,2.5,32.7,23.1
1,5.2,85.1,31.6,17.3,15.7,42628,11.8,34.3,15.4,2.6,0.9282,3.9,78.1,30.9,3.2,33.0,25.7,15.5,2.0,32.4,21.6
2,5.2,86.3,30.8,16.3,18.5,40896,10.8,32.5,16.4,3.0,0.9179999999999999,4.0,79.5,26.0,3.0,33.6,25.7,15.0,2.0,33.0,20.4
3,4.1,86.1,28.1,17.1,21.0,39246,13.6,30.4,13.0,3.4,0.8296,5.4,75.5,6.9,6.0,30.0,27.2,17.1,1.5,35.1,16.3
4,4.6,87.2,38.4,16.1,13.8,49202,12.0,33.1,14.9,4.2,1.7472,5.8,81.8,17.2,5.0,32.2,27.8,15.0,3.8,26.6,29.5
5,3.9,86.7,40.6,13.7,11.5,58073,9.3,30.5,13.8,4.4,1.43,6.5,84.7,14.5,4.9,32.6,26.6,15.4,4.8,26.4,34.6
6,6.8,82.0,26.9,23.0,19.9,31563,13.8,38.0,16.1,2.1,0.6342,3.6,72.1,63.9,2.6,35.1,25.0,13.6,1.2,35.4,17.9
7,3.1,85.3,33.7,16.5,13.0,47083,10.5,35.1,10.6,2.7,1.4742,4.0,81.9,27.3,3.0,30.7,26.7,17.1,3.4,32.7,24.0
8,3.4,86.2,32.0,16.2,17.8,42035,10.1,36.2,15.1,2.6,0.9828,4.5,81.8,32.2,3.5,32.4,26.3,16.1,2.4,31.9,21.8
9,3.8,85.1,33.4,16.6,18.1,46544,8.3,32.6,14.4,2.8,0.9716,4.0,86.3,26.3,3.0,32.9,26.3,15.4,2.4,30.5,22.8
10,3.3,87.1,28.0,17.0,21.1,41110,9.5,31.2,11.9,3.4,1.02,5.7,81.6,7.1,6.7,29.7,27.2,17.8,2.3,33.4,17.1
11,3.1,88.8,39.1,16.5,14.3,51690,8.2,36.1,15.6,4.3,1.6254,6.2,86.9,17.9,5.1,31.9,27.5,15.7,4.7,28.0,30.3
12,2.7,87.0,42.6,13.5,9.7,61413,6.7,32.3,12.9,4.8,1.6944,7.1,89.7,14.9,4.8,32.1,26.4,15.5,6.2,24.8,36.7
13,6.1,82.5,28.2,21.2,18.4,34664,10.5,40.0,14.4,2.9,0.7743,4.3,78.8,63.5,2.6,33.8,25.1,15.1,1.7,33.6,19.4
14,5.0,82.3,31.0,18.9,21.5,37123,11.7,42.6,15.4,2.7,0.6723,4.1,81.5,63.1,3.5,33.5,25.1,15.3,1.8,33.6,20.3
15,2.7,88.3,42.0,13.8,14.9,57174,8.7,32.8,14.5,4.2,1.8984,6.5,90.5,18.0,5.3,32.0,27.0,16.5,5.2,26.9,34.0
16,2.4,86.3,41.8,13.3,11.5,66835,7.5,30.9,12.7,4.5,1.953,7.3,92.3,15.3,4.7,32.1,26.1,16.7,7.9,25.0,36.3
17,2.8,86.1,33.0,18.5,15.4,46445,12.3,36.4,11.9,3.0,1.599,4.3,87.8,27.5,3.4,30.4,26.5,17.8,3.6,33.3,24.4
18,3.2,86.7,33.3,16.3,18.5,48290,10.5,35.5,13.7,2.7,1.3581,4.4,84.7,32.1,3.7,32.2,25.9,17.1,3.0,32.2,22.6
19,3.7,86.3,32.9,16.3,19.6,45832,9.3,33.3,14.2,2.7,1.1448,4.7,88.1,26.0,3.1,32.1,25.9,16.8,3.2,31.5,21.8
20,2.6,87.6,29.9,16.1,23.3,45387,10.3,30.6,10.9,3.4,0.9112,5.7,84.5,7.5,6.5,29.6,26.5,18.6,3.0,33.6,17.7
21,5.1,69.5,35.8,18.6,11.7,71583,17.2,33.9,18.6,7.4,4.144,16.6,91.5,3.4,6.7,36.6,25.6,9.5,6.4,28.4,28.0
22,5.4,69.0,37.2,17.6,11.3,76440,14.0,34.0,17.9,7.7,4.3967,16.5,93.9,3.2,6.9,36.6,25.5,10.2,7.1,28.0,29.6
23,4.4,68.0,37.8,18.3,12.4,74346,12.6,34.2,15.6,8.2,4.8954,16.3,95.6,3.4,7.2,35.9,24.7,11.9,8.8,28.3,30.2
24,5.6,75.8,33.0,22.8,11.2,47618,13.9,31.6,15.6,6.4,2.56,26.9,79.4,2.5,21.8,31.2,24.3,16.4,2.8,27.6,23.2
25,4.5,78.0,37.9,21.7,7.4,47586,11.0,41.0,20.7,11.4,5.6772,23.0,88.0,3.6,27.6,31.6,25.8,19.6,3.6,21.7,33.4
26,6.2,76.1,25.1,22.6,13.2,40734,18.0,28.0,17.6,21.0,8.693999999999999,50.0,82.9,4.5,61.6,36.3,21.3,10.7,1.3,26.5,16.1
