,NAME,state,district,year,total_pop,under_5,X5_to_9,X10_to_14,X15_to_19,X20_to_24,X25_to_34,X35_to_44,X45_to_54,X55_to_59,X60_to_64,X65_to_74,X75_to_84,X85_over,median_age,white_pct,black_pct,amer_ind,asian_pct,pac_isl_pct,hispanic_pct
1,"Congressional District 7 (116th Congress), Alabama",AL,7,2018,660468,6.2,6.3,6.3,8.1,7.7,14.4,11.4,11.8,6.5,6.8,9.1,4.5,1.7,36.4,33.5,63.1,0.3,0.8,0,3.5
2,"Congressional District 5 (116th Congress), California",CA,5,2018,730955,5.6,5.3,5.3,5.8,6,13.5,13,12.3,7,7.4,10.8,5.1,2,40.7,62.1,6.5,0.8,11.4,0.4,29.2
3,"Congressional District 8 (116th Congress), California",CA,8,2018,717107,7.4,8.2,8.2,6.7,6.6,13.6,12.3,12,6.1,6.5,8,4.1,1.5,35.3,74.7,8.6,1.8,3.3,0.3,40.8
4,"Congressional District 18 (116th Congress), California",CA,18,2018,750295,5.3,6,6,5.8,5.4,12.9,14.4,14.9,6.7,5.9,8.5,4.4,2.6,40,63.2,2.2,0.4,24.1,0.1,16.4
5,"Congressional District 22 (116th Congress), California",CA,22,2018,771095,7.8,8.2,8.2,7.6,6.8,14.9,12.2,11.5,5.1,5.1,7.7,3.4,1.8,32.6,67.9,3.4,1.2,8.1,0.1,49.1
6,"Congressional District 34 (116th Congress), California",CA,34,2018,748812,5.3,4.9,4.9,5.3,7,21.6,15.1,12,5.6,5.4,7,3.6,2,35.3,34.7,5.9,1.3,20.2,0.2,60.7
7,"Congressional District 38 (116th Congress), California",CA,38,2018,716331,6.5,5.4,5.4,6.2,6.7,15.4,12.6,13.1,6.6,5.8,8,4.7,2.3,37.3,40.8,3.7,0.7,17.1,0.5,61.3
8,"Congressional District 4 (116th Congress), Colorado",CO,4,2018,836061,6.3,7,7,7,5.6,13.4,13.5,13.2,6.4,6.4,8.6,3.8,1.5,37.3,89.7,1.6,0.7,2.4,0.2,21.4
9,"Congressional District 1 (116th Congress), Florida",FL,1,2018,784532,5.9,5.4,5.4,6.1,6.8,14.1,12.2,12.1,6.8,7,10.2,5.2,1.5,38.9,76.7,13.5,0.5,2.8,0.2,6.8
10,"Congressional District 23 (116th Congress), Florida",FL,23,2018,756447,5.5,5.5,5.5,6.4,5.5,12.1,13.1,14,7,6.1,10.3,5.7,2.2,41.4,70.5,14.6,0.5,4.7,0.1,39.6
11,"Congressional District 6 (116th Congress), Georgia",GA,6,2018,754299,5.6,6.7,6.7,6.7,4.6,13.5,14.9,15.7,6.8,5.7,8.2,3.5,1.5,39.1,68.8,13,1,12.8,0,12.3
12,"Congressional District 9 (116th Congress), Georgia",GA,9,2018,765320,5.6,5.9,5.9,7.3,6.3,11.9,12,12.8,6.6,6.3,11.3,5.8,1.6,40.7,87.9,6.1,0.2,1.3,0.3,13.3
13,"Congressional District 17 (116th Congress), Illinois",IL,17,2018,679926,5.9,6.1,6.1,6.3,6.6,12.3,11.7,12.3,6.9,7.1,10.5,5.7,2.5,40.4,81.4,11.8,0.3,1.5,0,8.8
14,"Congressional District 4 (116th Congress), Indiana",IN,4,2018,768025,5.9,6.2,6.2,8,8.5,12.1,12.1,12.7,6.3,6.3,9,4.6,1.8,37.2,88.4,4.1,0.2,3.1,0,6.4
15,"Congressional District 1 (116th Congress), Maine",ME,1,2018,685535,4.7,5.1,5.1,5.5,5.4,12.6,11.8,13.6,7.8,7.8,11.9,5.8,2.6,44.5,93.7,1.7,0.3,1.7,0.1,1.9
