,district,state,abbreviation,state_dist,year,laborforce_unemployed,PercentCar,PercentCarpool,PercentPublicTrans,Walked,Other_means,Management_business_science_and_arts,Service,Sales_and_office,Natural_resources_construction_and_maintenance,Production_transportation_and_material_moving,Private_wage_and_salary_workers,Government_workers,Less_than_10000,Median_household_income,No_health_insurance,non_fam_household,college_enroll,vet_percent,diff_house_1year,foreign_born,ForeignNotCit,ForeignCit,home_lang_not_english,own_computer,total_pop,median_age,white_pct,black_pct,amer_ind,asianpac,hispanic_pct,PctU20,Pct20t45,Pct45t65,Pct65plus,U25k,r25k_50k,r50k_100k,r100k_200k,r200kplus,NoHighSchool,HighSchoolEd,SomeCollege,BachelorsOrHigher,pct_won,party,pctDem
272,12,Florida,FL,FL-12,2014,3.5,81.7,7.1,0.5,1.0,2.4,39.7,17.2,27.8,7.6,7.7,83.0,11.7,5.9,50835,12.6,34.2,24.6,11.7,11.5,10.7,4.0446,6.6554,16.2,85.9,729937,44.6,88.0,5.2,0.2,2.9,13.0,22.5,27.9,27.9,21.5,23.4,25.7,29.3,17.2,4.3,10.0,29.6,32.2,28.2,0.0,R,0.0
274,14,Florida,FL,FL-14,2014,5.3,78.6,8.5,2.6,1.7,3.4,33.7,20.7,27.0,8.3,10.3,84.5,10.6,9.3,43758,17.7,43.7,28.9,8.1,18.6,17.8,9.612,8.187999999999999,30.6,84.3,757963,36.1,62.6,25.2,0.4,3.6,29.0,24.4,37.9,25.0,12.7,28.4,27.3,27.5,13.3,3.3,15.3,28.8,28.9,27.0,100.0,D,100.0
285,25,Florida,FL,FL-25,2014,4.0,79.6,9.6,2.3,1.0,1.1,29.0,18.6,28.0,13.0,11.5,84.0,9.4,7.4,49544,22.7,22.5,27.1,3.0,9.4,52.5,24.4125,28.0875,72.4,85.3,745358,39.5,85.5,7.3,0.2,2.3,70.8,24.0,33.8,26.4,15.7,26.0,24.4,29.9,16.1,3.7,18.9,29.0,25.5,26.6,0.0,R,0.0
287,27,Florida,FL,FL-27,2014,4.9,77.7,9.0,5.4,2.1,1.7,32.0,20.1,27.1,10.5,10.3,82.8,8.3,9.6,43957,21.3,31.5,31.3,2.3,9.8,55.4,26.7582,28.6418,76.6,81.1,760443,39.9,87.3,7.2,0.1,1.8,76.1,22.9,34.8,25.9,16.4,30.5,24.3,24.1,13.9,7.1,20.2,28.5,22.1,29.2,0.0,R,0.0
324,24,Florida,FL,FL-24,2018,3.8,77.7,7.6,7.5,1.3,3.4,25.8,26.8,24.7,10.5,12.3,81.3,11.2,10.4,42147,20.9,33.8,29.1,2.7,11.3,44.0,18.656,25.344,57.7,92.6,784469,36.8,43.0,47.4,0.0,1.5,42.2,25.0,36.1,25.3,13.8,30.3,27.6,28.3,10.5,3.2,19.7,32.3,25.7,22.2,100.0,D,100.0
328,21,Florida,FL,FL-21,2018,3.2,77.6,10.5,1.4,1.0,2.5,35.1,24.5,23.6,8.8,8.0,84.0,8.5,5.5,60316,13.7,38.7,28.2,6.7,13.1,28.2,13.4232,14.7768,37.2,94.1,785042,45.9,76.6,15.4,0.3,3.0,25.2,19.5,28.6,25.4,25.8,19.5,22.4,30.1,19.8,8.2,11.7,25.1,27.4,35.7,100.0,D,100.0
332,10,Florida,FL,FL-10,2018,3.1,80.5,10.6,2.2,0.9,2.3,33.3,20.4,26.1,9.4,10.8,86.6,8.8,6.5,56262,13.9,31.3,25.1,5.7,16.6,24.5,12.0295,12.4705,35.7,95.1,839504,35.3,57.1,28.3,0.5,5.0,28.4,26.2,37.3,24.5,11.7,19.8,24.7,30.3,19.3,5.9,11.9,25.7,29.4,33.2,100.0,D,100.0
340,14,Florida,FL,FL-14,2018,3.5,77.3,9.8,2.0,1.6,2.1,40.2,18.7,24.3,7.4,9.3,83.6,11.2,7.2,55729,13.2,42.1,32.8,6.9,20.0,21.8,11.0962,10.7038,34.2,94.8,782973,36.3,67.9,18.0,0.2,4.6,31.9,24.2,37.4,24.6,13.4,22.9,22.3,27.8,18.4,8.7,11.0,26.3,25.2,37.5,100.0,D,100.0
344,3,Georgia,GA,GA-3,2014,5.2,82.1,11.3,0.6,1.0,1.7,32.0,17.5,25.3,9.9,15.4,78.1,16.6,8.5,49833,13.4,28.8,23.3,10.5,15.7,5.2,2.7872,2.4128,7.0,84.5,725530,37.0,69.4,24.4,0.2,2.1,5.2,28.1,32.5,25.8,13.7,24.8,25.5,30.5,16.1,3.4,14.4,30.8,30.2,24.5,0.0,R,0.0
346,5,Georgia,GA,GA-5,2014,7.2,69.2,8.9,10.0,4.0,1.7,46.7,15.9,22.9,4.3,10.1,80.4,14.8,11.2,44411,16.9,52.7,41.5,5.9,21.3,8.6,5.2202,3.3798,12.8,84.6,738016,33.5,33.1,58.1,0.2,4.4,6.6,24.4,42.5,22.7,10.5,30.1,24.8,24.5,14.4,6.2,12.7,22.2,24.9,40.1,100.0,D,100.0
