district,state,abbreviation,state_dist,year,laborforce_unemployed,PercentCar,PercentCarpool,PercentPublicTrans,Walked,Other_means,Management_business_science_and_arts,Service,Sales_and_office,Natural_resources_construction_and_maintenance,Production_transportation_and_material_moving,Private_wage_and_salary_workers,Government_workers,Less_than_10000,Median_household_income,No_health_insurance,non_fam_household,college_enroll,vet_percent,diff_house_1year,foreign_born,ForeignNotCit,ForeignCit,home_lang_not_english,own_computer,total_pop,median_age,white_pct,black_pct,amer_ind,asianpac,hispanic_pct,PctU20,Pct20t45,Pct45t65,Pct65plus,U25k,r25k_50k,r50k_100k,r100k_200k,r200kplus,NoHighSchool,HighSchoolEd,SomeCollege,BachelorsOrHigher,pct_won,party
1,Alabama,AL,AL-1,2014,4.7,87.3,7.2,0.4,0.8,1.0,31.5,17.2,26.8,10.0,14.5,79.5,15.2,9.8,44030,13.7,32.7,22.5,9.8,12.2,3.0,1.617,1.383,4.9,76.9,696783,39.5,67.2,27.9,0.8,1.4,3.1,25.9,30.9,27.0,16.2,29.8,25.8,28.1,13.8,2.5,13.5,32.7,30.7,23.1,68.16,R
2,Alabama,AL,AL-2,2014,5.2,85.1,9.0,0.4,1.2,1.3,31.6,17.3,24.9,10.4,15.7,75.2,18.6,9.9,42628,11.8,34.3,24.7,11.0,15.4,2.6,1.6718,0.9282,3.9,78.1,678622,38.0,65.4,30.9,0.5,1.1,3.2,25.7,33.0,25.7,15.5,30.2,27.3,27.6,12.8,2.0,16.4,32.4,29.5,21.6,67.34,R
3,Alabama,AL,AL-3,2014,5.2,86.3,8.4,0.4,1.2,1.1,30.8,16.3,24.4,10.0,18.5,78.3,17.1,11.7,40896,10.8,32.5,32.3,9.3,16.4,3.0,2.082,0.9179999999999999,4.0,79.5,706574,38.0,69.7,26.0,0.3,1.5,3.0,25.8,33.6,25.7,15.0,31.6,27.1,27.2,12.2,2.0,16.6,33.0,30.1,20.4,66.12,R
4,Alabama,AL,AL-4,2014,4.1,86.1,9.6,0.3,0.8,0.6,28.1,17.1,21.8,12.1,21.0,77.8,15.3,9.1,39246,13.6,30.4,18.3,8.7,13.0,3.4,2.5704,0.8296,5.4,75.5,683372,40.9,87.3,6.9,0.7,0.5,6.0,25.6,30.0,27.2,17.1,33.4,26.8,27.7,10.5,1.5,19.3,35.1,29.3,16.3,98.57,R
5,Alabama,AL,AL-5,2014,4.6,87.2,6.9,0.4,1.3,1.3,38.4,16.1,22.5,9.1,13.8,77.2,17.4,8.6,49202,12.0,33.1,27.3,10.8,14.9,4.2,2.4528,1.7472,5.8,81.8,706373,39.4,76.8,17.2,0.6,1.5,5.0,25.0,32.2,27.8,15.0,25.7,24.9,27.8,17.7,3.8,14.0,26.6,29.9,29.5,74.42,R
6,Alabama,AL,AL-6,2014,3.9,86.7,8.0,0.1,0.7,1.0,40.6,13.7,25.7,8.5,11.5,81.9,13.3,5.8,58073,9.3,30.5,23.0,7.9,13.8,4.4,2.97,1.43,6.5,84.7,696788,39.3,79.3,14.5,0.3,1.9,4.9,25.6,32.6,26.6,15.4,20.5,23.1,31.4,20.3,4.8,11.0,26.4,28.1,34.6,76.18,R
7,Alabama,AL,AL-7,2014,6.8,82.0,11.5,1.0,2.0,1.8,26.9,23.0,22.1,8.2,19.9,80.4,14.9,16.3,31563,13.8,38.0,32.1,7.2,16.1,2.1,1.4658,0.6342,3.6,72.1,680865,35.2,32.9,63.9,0.1,0.6,2.6,26.3,35.1,25.0,13.6,41.2,27.5,22.4,7.8,1.2,16.5,35.4,30.1,17.9,98.37,D
1,Alabama,AL,AL-1,2016,3.1,85.3,6.3,0.5,1.1,1.4,33.7,16.5,26.0,10.8,13.0,81.4,13.0,10.0,47083,10.5,35.1,21.2,9.4,10.6,2.7,1.2258,1.4742,4.0,81.9,704457,39.6,67.4,27.3,1.1,1.3,3.0,25.3,30.7,26.7,17.1,28.0,24.6,28.3,15.7,3.4,12.9,32.7,30.3,24.0,96.38,R
2,Alabama,AL,AL-2,2016,3.4,86.2,7.7,0.2,1.9,1.3,32.0,16.2,24.5,9.5,17.8,77.4,17.3,10.1,42035,10.1,36.2,23.4,10.1,15.1,2.6,1.6172,0.9828,4.5,81.8,681621,38.2,63.0,32.2,0.3,1.1,3.5,25.2,32.4,26.3,16.1,30.8,25.1,28.0,13.7,2.4,16.1,31.9,30.2,21.8,48.77,R
3,Alabama,AL,AL-3,2016,3.8,85.1,8.6,0.2,1.3,1.0,33.4,16.6,22.5,9.4,18.1,77.6,16.7,9.4,46544,8.3,32.6,31.9,8.9,14.4,2.8,1.8284,0.9716,4.0,86.3,709482,38.3,69.5,26.3,0.3,2.0,3.0,25.4,32.9,26.3,15.4,27.9,25.1,30.8,13.9,2.4,16.4,30.5,30.3,22.8,66.93,R
