year,name,laborforce_employed,laborforce_unemployed,armed_forces_employed,unemployment_rate,PercentCar,PercentCarpool,PercentPublicTrans,Walked,Other_means,Management_business_science_and_arts,Service,Sales_and_office,Natural_resources_construction_and_maintenance,Production_transportation_and_material_moving,Private_wage_and_salary_workers,Government_workers,"Less_than_10,000","10,000_to_14,999","25,000_to_34,999","35,000_to_49,999","50,000_to_74,999","75,000_to_99,999","100,000_to_149,999","150,000_to_199,999","200,000_or_more",Median_household_income,health_insurance,No_health_insurance,"15,000_to_24,999",district,state,abbreviation,state_dist
2014,"Congressional District 1 (114th Congress), Alabama",51.4,4.7,0.2,8.3,87.3,7.2,0.4,0.8,1.0,31.5,17.2,26.8,10.0,14.5,79.5,15.2,9.8,6.1,10.6,15.2,17.6,10.5,10.7,3.1,2.5,44030,86.3,13.7,13.9,1,Alabama,AL,AL-1
2014,"Congressional District 2 (114th Congress), Alabama",51.3,5.2,1.2,9.2,85.1,9.0,0.4,1.2,1.3,31.6,17.3,24.9,10.4,15.7,75.2,18.6,9.9,6.9,11.9,15.4,17.4,10.2,9.9,2.9,2.0,42628,88.2,11.8,13.4,2,Alabama,AL,AL-2
2014,"Congressional District 3 (114th Congress), Alabama",51.9,5.2,0.5,9.1,86.3,8.4,0.4,1.2,1.1,30.8,16.3,24.4,10.0,18.5,78.3,17.1,11.7,7.8,12.0,15.1,17.2,10.0,9.3,2.9,2.0,40896,89.2,10.8,12.1,3,Alabama,AL,AL-3
2014,"Congressional District 4 (114th Congress), Alabama",49.8,4.1,0.1,7.6,86.1,9.6,0.3,0.8,0.6,28.1,17.1,21.8,12.1,21.0,77.8,15.3,9.1,8.3,12.2,14.6,18.0,9.7,8.2,2.3,1.5,39246,86.4,13.6,16.0,4,Alabama,AL,AL-4
2014,"Congressional District 5 (114th Congress), Alabama",56.2,4.6,0.2,7.6,87.2,6.9,0.4,1.3,1.3,38.4,16.1,22.5,9.1,13.8,77.2,17.4,8.6,6.1,11.0,13.9,16.3,11.5,12.9,4.8,3.8,49202,88.0,12.0,11.0,5,Alabama,AL,AL-5
2014,"Congressional District 6 (114th Congress), Alabama",58.5,3.9,0.1,6.2,86.7,8.0,0.1,0.7,1.0,40.6,13.7,25.7,8.5,11.5,81.9,13.3,5.8,4.4,10.9,12.2,18.3,13.1,14.3,6.0,4.8,58073,90.7,9.3,10.3,6,Alabama,AL,AL-6
2014,"Congressional District 7 (114th Congress), Alabama",48.1,6.8,0.1,12.4,82.0,11.5,1.0,2.0,1.8,26.9,23.0,22.1,8.2,19.9,80.4,14.9,16.3,8.9,12.9,14.6,13.8,8.6,6.3,1.5,1.2,31563,86.2,13.8,16.0,7,Alabama,AL,AL-7
2016,"Congressional District 1 (115th Congress), Alabama",51.9,3.1,0.2,5.7,85.3,6.3,0.5,1.1,1.4,33.7,16.5,26.0,10.8,13.0,81.4,13.0,10.0,6.5,10.9,13.7,17.1,11.2,11.6,4.1,3.4,47083,89.5,10.5,11.5,1,Alabama,AL,AL-1
2016,"Congressional District 2 (115th Congress), Alabama",52.5,3.4,1.2,6.1,86.2,7.7,0.2,1.9,1.3,32.0,16.2,24.5,9.5,17.8,77.4,17.3,10.1,7.1,11.8,13.3,17.1,10.9,10.5,3.2,2.4,42035,89.9,10.1,13.6,2,Alabama,AL,AL-2
2016,"Congressional District 3 (115th Congress), Alabama",53.0,3.8,0.6,6.6,85.1,8.6,0.2,1.3,1.0,33.4,16.6,22.5,9.4,18.1,77.6,16.7,9.4,5.9,10.7,14.4,19.7,11.1,10.5,3.4,2.4,46544,91.7,8.3,12.6,3,Alabama,AL,AL-3
2016,"Congressional District 4 (115th Congress), Alabama",50.4,3.3,0.1,6.1,87.1,8.3,0.2,1.0,0.5,28.0,17.0,22.0,12.0,21.1,79.0,14.2,9.5,7.2,12.1,15.9,17.3,10.8,8.9,2.5,2.3,41110,90.5,9.5,13.4,4,Alabama,AL,AL-4
2016,"Congressional District 5 (115th Congress), Alabama",56.5,3.1,0.3,5.2,88.8,6.7,0.0,0.6,1.0,39.1,16.5,22.1,8.0,14.3,77.0,17.8,8.3,5.7,10.0,12.9,16.5,12.3,12.6,5.9,4.7,51690,91.8,8.2,11.2,5,Alabama,AL,AL-5
2016,"Congressional District 6 (115th Congress), Alabama",59.2,2.7,0.1,4.4,87.0,8.0,0.1,0.7,0.8,42.6,13.5,25.5,8.7,9.7,82.5,12.9,5.2,5.0,9.8,12.6,18.1,13.5,15.3,5.9,6.2,61413,93.3,6.7,8.4,6,Alabama,AL,AL-6
2016,"Congressional District 7 (115th Congress), Alabama",49.5,6.1,0.1,10.9,82.5,11.1,1.0,1.9,1.2,28.2,21.2,24.6,7.6,18.4,79.8,15.7,14.5,8.2,12.6,12.9,15.7,9.6,7.3,2.5,1.7,34664,89.5,10.5,15.0,7,Alabama,AL,AL-7
2018,"Congressional District 7 (116th Congress), Alabama",49.6,5.0,0.1,9.1,82.3,11.0,1.1,1.8,0.8,31.0,18.9,20.1,8.6,21.5,78.9,16.3,14.6,7.9,10.9,12.8,16.6,9.5,8.6,2.4,1.8,37123,88.3,11.7,14.8,7,Alabama,AL,AL-7
2018,"Congressional District 5 (116th Congress), Alabama",57.1,2.7,0.2,4.6,88.3,5.9,0.2,1.0,1.0,42.0,13.8,20.8,8.5,14.9,79.1,15.9,6.2,5.0,9.4,13.2,17.7,12.5,14.2,6.2,5.2,57174,91.3,8.7,10.5,5,Alabama,AL,AL-5
2018,"Congressional District 6 (116th Congress), Alabama",58.3,2.4,0.1,4.0,86.3,7.6,0.0,0.5,0.5,41.8,13.3,24.3,9.2,11.5,82.4,12.2,5.4,3.6,7.5,12.1,17.6,14.1,17.3,6.8,7.9,66835,92.5,7.5,7.8,6,Alabama,AL,AL-6
2018,"Congressional District 1 (116th Congress), Alabama",52.7,2.8,0.2,5.0,86.1,6.8,0.2,0.9,1.7,33.0,18.5,21.6,11.5,15.4,80.9,12.8,8.8,6.0,11.4,14.0,17.6,11.9,10.4,4.0,3.6,46445,87.7,12.3,12.3,1,Alabama,AL,AL-1
2018,"Congressional District 2 (116th Congress), Alabama",51.1,3.2,1.1,5.9,86.7,8.0,0.3,1.5,1.2,33.3,16.3,22.2,9.6,18.5,75.2,18.4,9.9,6.3,9.6,13.4,17.9,12.5,11.7,3.7,3.0,48290,89.5,10.5,12.0,2,Alabama,AL,AL-2
2018,"Congressional District 3 (116th Congress), Alabama",51.5,3.7,0.5,6.6,86.3,7.9,0.6,1.5,0.8,32.9,16.3,21.1,10.1,19.6,78.5,16.5,11.3,6.5,10.2,12.2,17.3,11.7,11.0,4.3,3.2,45832,90.7,9.3,12.2,3,Alabama,AL,AL-3
2018,"Congressional District 4 (116th Congress), Alabama",52.2,2.6,0.1,4.8,87.6,8.4,0.2,0.5,0.6,29.9,16.1,19.5,11.2,23.3,79.5,13.1,8.3,6.7,12.1,13.3,16.8,11.7,11.2,3.4,3.0,45387,89.7,10.3,13.8,4,Alabama,AL,AL-4
2014,"Congressional District (at Large) (114th Congress), Alaska",61.9,5.1,3.0,7.6,69.5,12.0,1.3,8.0,5.3,35.8,18.6,21.0,12.9,11.7,68.1,25.3,3.9,3.4,7.6,11.5,18.6,13.6,19.5,8.0,6.4,71583,82.8,17.2,7.4,0,Alaska,AK,AK-0
2016,"Congressional District (at Large) (115th Congress), Alaska",62.1,5.4,2.7,8.0,69.0,12.2,1.2,7.6,4.8,37.2,17.6,22.3,11.6,11.3,67.5,25.6,3.6,2.9,6.9,10.5,18.7,14.4,20.1,9.2,7.1,76440,86.0,14.0,6.5,0,Alaska,AK,AK-0
2018,"Congressional District (at Large) (116th Congress), Alaska",60.4,4.4,3.1,6.8,68.0,12.3,1.2,7.8,5.5,37.8,18.3,20.1,11.4,12.4,67.9,25.3,4.5,3.3,6.6,10.3,19.3,13.4,19.0,8.3,8.8,74346,87.4,12.6,6.4,0,Alaska,AK,AK-0
2014,"Congressional District 1 (114th Congress), Arizona",47.3,5.6,0.1,10.6,75.8,10.2,0.9,4.6,2.9,33.0,22.8,23.1,10.0,11.2,71.6,22.9,10.6,5.8,10.4,14.3,18.9,11.9,11.2,3.2,2.8,47618,86.1,13.9,10.7,1,Arizona,AZ,AZ-1
2014,"Congressional District 2 (114th Congress), Arizona",52.1,4.5,1.6,7.9,78.0,9.4,2.6,2.1,3.2,37.9,21.7,25.1,7.8,7.4,74.5,18.8,7.1,6.5,11.8,14.6,18.4,11.2,11.1,3.8,3.6,47586,89.0,11.0,11.8,2,Arizona,AZ,AZ-2
2014,"Congressional District 3 (114th Congress), Arizona",54.5,6.2,0.3,10.2,76.1,12.5,2.0,2.3,3.8,25.1,22.6,25.3,13.7,13.2,77.2,17.0,10.7,7.2,12.9,15.9,19.0,10.4,7.5,2.2,1.3,40734,82.0,18.0,12.9,3,Arizona,AZ,AZ-3
