year,party,pct_won,state_dist
2014,R,68.16,AL-1
2014,R,67.34,AL-2
2014,R,66.12,AL-3
2014,R,98.57,AL-4
2014,R,74.42,AL-5
2014,R,76.18,AL-6
2014,D,98.37,AL-7
2016,R,96.38,AL-1
2016,R,48.77,AL-2
2016,R,66.93,AL-3
2016,R,98.53,AL-4
2016,R,66.7,AL-5
2016,R,74.49,AL-6
2016,D,98.41,AL-7
2018,R,63.16,AL-1
2018,R,61.39,AL-2
2018,R,63.72,AL-3
2018,R,79.77,AL-4
2018,R,61.02,AL-5
2018,R,69.18,AL-6
2018,D,97.8,AL-7
2014,R,50.97,AK-0
2016,R,50.32,AK-0
2018,R,53.08,AK-0
2014,D,52.61,AZ-1
2014,R,50.01,AZ-2
2014,D,55.72,AZ-3
2014,R,69.96,AZ-4
2014,R,69.58,AZ-5
2014,R,64.86,AZ-6
2014,D,74.85,AZ-7
2014,R,75.81,AZ-8
2014,D,54.68,AZ-9
2016,D,50.66,AZ-1
2016,R,56.96,AZ-2
2016,D,98.63,AZ-3
2016,R,71.45,AZ-4
2016,R,64.1,AZ-5
2016,R,62.13,AZ-6
2016,D,75.22,AZ-7
2016,R,68.55,AZ-8
2016,D,60.92,AZ-9
2018,D,53.83,AZ-1
2018,D,54.73,AZ-2
2018,D,63.87,AZ-3
2018,R,68.17,AZ-4
2018,R,59.42,AZ-5
2018,R,55.19,AZ-6
2018,D,85.61,AZ-7
2018,R,55.46,AZ-8
2018,D,61.09,AZ-9
2014,R,63.25,AR-1
2014,R,51.86,AR-2
2014,R,79.41,AR-3
2014,R,53.75,AR-4
2016,R,76.28,AR-1
2016,R,58.34,AR-2
2016,R,77.32,AR-3
2016,R,74.9,AR-4
2018,R,68.95,AR-1
2018,R,52.13,AR-2
2018,R,64.74,AR-3
2018,R,66.74,AR-4
2014,R,61.03,CA-1
2014,D,74.99,CA-2
2014,D,52.72,CA-3
2014,R,60.05,CA-4
2014,D,75.73,CA-5
2014,D,72.69,CA-6
2014,D,50.4,CA-7
2014,R,67.65,CA-8
2014,D,52.37,CA-9
2014,R,56.15,CA-10
2014,D,67.27,CA-11
2014,D,83.25,CA-12
2014,D,88.48,CA-13
2014,D,76.7,CA-14
2014,D,69.81,CA-15
2014,D,50.73,CA-16
2014,D,51.75,CA-17
2014,D,67.75,CA-18
2014,D,67.21,CA-19
2014,D,75.18,CA-20
2014,R,57.83,CA-21
2014,R,72.04,CA-22
2014,R,74.84,CA-23
2014,D,51.93,CA-24
2014,R,53.34,CA-25
2014,D,51.33,CA-26
2014,D,59.36,CA-27
2014,D,76.5,CA-28
2014,D,74.61,CA-29
2014,D,65.64,CA-30
2014,D,51.73,CA-31
2014,D,59.66,CA-32
2014,D,59.19,CA-33
2014,D,72.54,CA-34
2014,D,63.45,CA-35
2014,D,54.18,CA-36
2014,D,84.28,CA-37
2014,D,59.09,CA-38
2014,R,68.54,CA-39
2014,D,61.18,CA-40
2014,D,56.64,CA-41
2014,R,65.74,CA-42
2014,D,70.96,CA-43
2014,D,86.65,CA-44
2014,R,65.12,CA-45
2014,D,59.7,CA-46
2014,D,55.99,CA-47
2014,R,64.12,CA-48
2014,R,60.17,CA-49
2014,R,71.2,CA-50
2014,D,68.79,CA-51
2014,D,51.59,CA-52
2014,D,58.84,CA-53
2016,R,59.05,CA-1
2016,D,76.85,CA-2
2016,D,59.35,CA-3
2016,R,62.72,CA-4
2016,D,76.87,CA-5
2016,D,75.43,CA-6
2016,D,51.17,CA-7
2016,R,62.26,CA-8
2016,D,57.36,CA-9
2016,R,51.7,CA-10
2016,D,72.05,CA-11
2016,D,80.87,CA-12
2016,D,90.78,CA-13
2016,D,80.86,CA-14
2016,D,73.77,CA-15
2016,D,58.03,CA-16
2016,D,61.01,CA-17
2016,D,71.15,CA-18
2016,D,73.94,CA-19
2016,D,70.75,CA-20
2016,R,56.74,CA-21
2016,R,67.57,CA-22
2016,R,69.18,CA-23
2016,D,53.42,CA-24
2016,R,53.13,CA-25
2016,D,60.38,CA-26
2016,D,67.42,CA-27
2016,D,77.99,CA-28
2016,D,74.73,CA-29
2016,D,72.64,CA-30
2016,D,56.07,CA-31
2016,D,61.57,CA-32
2016,D,66.44,CA-33
2016,D,77.18,CA-34
2016,D,72.39,CA-35
2016,D,62.05,CA-36
2016,D,81.13,CA-37
2016,D,70.48,CA-38
2016,R,57.23,CA-39
2016,D,71.37,CA-40
2016,D,64.95,CA-41
2016,R,58.82,CA-42
2016,D,76.08,CA-43
2016,D,52.2,CA-44
2016,R,58.56,CA-45
2016,D,70.02,CA-46
2016,D,63.72,CA-47
2016,R,58.32,CA-48
2016,R,50.26,CA-49
2016,R,63.45,CA-50
2016,D,72.75,CA-51
2016,D,56.53,CA-52
2016,D,67.01,CA-53
