"","NAME","year","fam_household","non_fam_household","college_enroll","less_than_9th","9th_to_12th_no_dp","hs_grad","some_col_no_deg","associates","bachelors","grad_degree","vet_percent","same_house_1year","diff_house_1year","native_born","foreign_born","foreign_naturalized","foreign_not_cit","home_lang_not_english","own_computer"
"1","Congressional District 7 (116th Congress), Alabama",2018,57.4,42.6,34.2,4.2,11.2,33.6,22.5,8.1,12.8,7.5,6.5,84.3,15.4,97.3,2.7,24.9,75.1,4.1,81.5
"2","Congressional District 5 (116th Congress), California",2018,65.3,34.7,29.3,7.1,5.1,20.2,25.1,10.3,21.2,11.1,6.1,86.3,13.2,78.4,21.6,51.8,48.2,32.4,95.2
"3","Congressional District 8 (116th Congress), California",2018,71.1,28.9,21.5,6.3,10.5,30.1,26.9,9.5,10.3,6.2,8.9,87,12.6,86.1,13.9,52.5,47.5,27.7,94.3
"4","Congressional District 18 (116th Congress), California",2018,70.2,29.8,30.5,2.5,2.8,10.5,13.9,5.7,31.3,33.3,4,84.4,13.8,69.7,30.3,54.5,45.5,38.1,96.9
"5","Congressional District 22 (116th Congress), California",2018,72.4,27.6,26.8,9.7,7.2,22.3,23.8,10.7,16.6,9.7,5.6,87,12.6,82,18,47.2,52.8,38.7,92.8
"6","Congressional District 34 (116th Congress), California",2018,56.2,43.8,33.3,19.8,10.4,19.8,16.2,5.1,20.5,8.3,2.3,87.4,11.7,54.5,45.5,43.4,56.6,73.1,90.5
"7","Congressional District 38 (116th Congress), California",2018,78,22,33.5,10.1,8.7,27,21.4,8,17.5,7.4,3.7,92.8,6.9,70.2,29.8,62.6,37.4,58.1,92.7
"8","Congressional District 4 (116th Congress), Colorado",2018,70.8,29.2,19.3,3.4,4.6,23.1,23.2,9.7,24.3,11.7,8.5,82.6,16.9,92.6,7.4,47.9,52.1,15,94.7
"9","Congressional District 1 (116th Congress), Florida",2018,66.4,33.6,26.3,2.4,5.6,27.7,24.7,11.1,18,10.5,16.3,80.6,18.9,94.2,5.8,64.5,35.5,8.2,93.3
"10","Congressional District 23 (116th Congress), Florida",2018,66,34,29,3.4,4,22.8,19,10.5,23.7,16.5,4.6,87,11.1,62.5,37.5,65.5,34.5,50.2,95.9
"11","Congressional District 6 (116th Congress), Georgia",2018,66.8,33.2,20.1,2.6,2.6,11.9,14,5.4,38.6,24.9,5.1,86.8,12.1,78.4,21.6,45.3,54.7,26.5,96.6
"12","Congressional District 9 (116th Congress), Georgia",2018,71.8,28.2,22.6,6.8,9.9,30.8,20.6,7.5,14.7,9.6,8.6,88,11.7,91.9,8.1,36,64,13.4,91.2
"13","Congressional District 17 (116th Congress), Illinois",2018,60.5,39.5,22.5,3.5,7.7,34.6,24.9,9.8,13.1,6.4,7.8,87.1,12.7,95.5,4.5,39.7,60.3,9,87.4
"14","Congressional District 4 (116th Congress), Indiana",2018,66.9,33.1,32.1,2.6,7.3,32.1,21.7,8.3,18,9.9,7.4,82.5,16.8,94.4,5.6,32.8,67.2,8.2,94
"15","Congressional District 1 (116th Congress), Maine",2018,59.8,40.2,27,2,3.2,26.4,20,9.3,24.1,15,9.2,86.6,13.1,95.7,4.3,51.7,48.3,6,91.8
"16","Congressional District 2 (116th Congress), Maryland",2018,64.8,35.2,30.4,4,5.7,27.9,20.7,7.4,19.1,15.3,8.2,87,12.3,88.4,11.6,57.3,42.7,14.2,92.4
"17","Congressional District 7 (116th Congress), Maryland",2018,59.2,40.8,34,3.3,7.7,24.8,18.5,5.9,20.9,18.9,6.4,84.8,14.3,88.5,11.5,52.6,47.4,13.7,91.1
"18","Congressional District 4 (116th Congress), Massachusetts",2018,69.3,30.7,29.5,2.9,3.7,20.4,14.3,7.2,25.2,26.2,5.5,89.1,10.2,85.8,14.2,61,39,18.3,94.2
"19","Congressional District 8 (116th Congress), Massachusetts",2018,59.5,40.5,31.3,3.8,4,20.9,15.3,7.8,27.7,20.6,5.3,87,12.1,81.3,18.7,55.9,44.1,23.5,92.7
"20","Congressional District 6 (116th Congress), Michigan",2018,65.4,34.6,27.4,3.1,6.3,28.6,22.9,10.1,18.1,11,7,83.9,15.6,95.4,4.6,41.2,58.8,7.3,91.1
"21","Congressional District 13 (116th Congress), Michigan",2018,54.8,45.2,23.6,5.2,11.3,35,24.5,7.6,10.6,5.9,5.7,87.7,12,92.1,7.9,44.2,55.8,14.4,86.9
"22","Congressional District 2 (116th Congress), Missouri",2018,68.4,31.6,23.3,1.2,3,18.7,19.5,8,28.4,21.3,6.7,88.7,10.8,92,8,60.5,39.5,9.9,95.1
"23","Congressional District 6 (116th Congress), Missouri",2018,66.2,33.8,23.2,2.4,5.9,32.6,22.1,7.9,19.1,10,8.5,86.2,13.6,96.9,3.1,57.5,42.5,4.9,91.4
"24","Congressional District 2 (116th Congress), Nevada",2018,62.5,37.5,25.5,3.8,6.1,25.8,27.2,10.1,17.2,9.8,10.1,83.2,16.5,88.1,11.9,50.1,49.9,21.8,94.3
"25","Congressional District 3 (116th Congress), New York",2018,74.6,25.4,28.9,3.5,3,17.8,12.5,7.4,28.9,26.9,3.9,92.6,6.9,76.5,23.5,71.8,28.2,31.1,94.7
"26","Congressional District 7 (116th Congress), New York",2018,61.2,38.8,24.9,14.2,11.1,22.3,10.8,4.3,22.4,14.7,1.8,90.3,8.9,67.4,32.6,52.4,47.6,59.2,87.8
"27","Congressional District 23 (116th Congress), New York",2018,60.7,39.3,37.2,3.7,6.8,33.9,17.3,12.5,13.4,12.5,7.9,87.2,12.2,96,4,50.7,49.3,7.2,88.6
"28","Congressional District 2 (116th Congress), Oklahoma",2018,68.3,31.7,17.4,4.1,10.4,38.4,21.7,8.1,11.7,5.7,9.3,85.2,14.7,98,2,35.7,64.3,4.7,85.2
"29","Congressional District 3 (116th Congress), Oregon",2018,56.5,43.5,32.7,3.8,4.9,18.6,22.6,8.4,25.3,16.3,5.6,83.2,16.1,86.2,13.8,51.1,48.9,20.5,95.2
"30","Congressional District 8 (116th Congress), Pennsylvania",2018,63.3,36.7,24.8,2.8,6.5,37.7,18.3,9.5,15.8,9.2,8.3,88,11.5,92.2,7.8,53.1,46.9,12.7,88.8
"31","Congressional District 9 (116th Congress), Pennsylvania",2018,66.2,33.8,25.3,3.4,7.2,43.4,15.5,9,13.8,7.8,8.7,88.3,11.3,96.9,3.1,58.5,41.5,7.7,87
"32","Congressional District 10 (116th Congress), Pennsylvania",2018,63.5,36.5,25,3.2,5.8,33.9,15.3,9.1,20.8,11.9,8.3,85.3,13.8,93.3,6.7,55.3,44.7,11.6,90.6
"33","Congressional District 12 (116th Congress), Pennsylvania",2018,64.7,35.3,37.3,2.9,7,43,14.6,9.2,14.3,9.1,8.4,85.8,13.6,97,3,39.4,60.6,7,87.3
"34","Congressional District 13 (116th Congress), Pennsylvania",2018,67.5,32.5,24.6,3.1,6.9,45,16.2,9.2,11.9,7.9,9.2,89.8,10.1,97.7,2.3,38.2,61.8,4.9,86.3
